Flight Type,Fl No.,Origin,ETA,ATA,Fl No.,Dest,ETD,ATD
Arr,KQ485,DAR,19:20,19:13,KQ448,BJM,20:44,20:37
Park,KQ485,DAR,20:50,20:43,KQ448,BJM,06:09,07:17
Dep,KQ485,DAR,06:15,07:23,KQ448,BJM,07:45,08:53
Full,KQ485,DAR,19:20,18:39,KQ734,LUN,22:45,22:58
Arr,KQ487,DAR,22:15,22:00,KQ256,TNR,23:39,23:24
Park,KQ487,DAR,23:45,23:30,KQ256,TNR,11:09,12:12
Dep,KQ487,DAR,11:15,12:18,KQ256,TNR,12:45,13:48
Full,KQ487,DAR,22:15,22:00,,,23:59,23:59
Full,KQ489,DAR,06:40,06:27,KQ494,ZNZ,08:05,08:05
Full,KQ495,ZNZ,11:15,10:26,KQ482,DAR,12:05,12:20
Full,KQ509,ACC,06:10,05:55,KQ760,JNB,08:30,08:48
Full,KQ521,ABJ,06:20,07:10,KQ504,FNA,10:35,10:35
Full,KQ522,NSI,21:40,22:00,,,23:59,23:59
Arr,KQ524,DLA,18:20,18:20,KQ522,NSI,19:44,19:44
Park,KQ524,DLA,19:50,19:50,KQ522,NSI,09:44,10:41
Dep,KQ524,DLA,09:50,10:47,KQ522,NSI,11:20,12:17
Arr,KQ533,LOS,19:50,19:50,KQ542,COO,21:14,21:14
Park,KQ533,LOS,21:20,21:20,KQ542,COO,06:19,06:47
Dep,KQ533,LOS,06:25,06:53,KQ542,COO,07:55,08:23
Arr,KQ537,ABV,18:25,18:25,,,19:49,19:49
Park,KQ537,ABV,19:55,19:55,,,22:23,22:23
Dep,KQ537,ABV,22:29,22:29,,,23:59,23:59
Full,KQ542,LOS,21:00,21:50,,,23:59,23:59
Full,KQ555,FIH,20:25,20:01,KQ112,CDG,23:05,23:24
Arr,KQ584,FBM,20:05,19:02,KQ252,HAH,21:29,20:26
Park,KQ584,FBM,21:35,20:32,KQ252,HAH,09:54,10:12
Dep,KQ584,FBM,10:00,10:18,KQ252,HAH,11:30,11:48
Full,KQ586,NLA,20:05,19:15,,,23:59,23:59
Arr,KQ601,MBA,09:30,09:15,,,10:54,10:39
Park,KQ601,MBA,11:00,10:45,,,22:23,22:23
Dep,KQ601,MBA,22:29,22:29,,,23:59,23:59
Full,KQ603,MBA,11:10,11:27,KQ762,JNB,12:05,12:45
Full,KQ605,MBA,12:55,13:40,KQ352,JUB,13:40,14:40
Full,KQ607,MBA,15:35,15:25,KQ610,MBA,16:25,16:34
Full,KQ609,MBA,16:55,16:42,KQ616,MBA,18:50,19:57
Full,KQ611,MBA,19:05,18:15,KQ618,MBA,19:50,20:42
Arr,KQ617,MBA,21:30,21:20,KQ600,MBA,22:54,22:44
Park,KQ617,MBA,23:00,22:50,KQ600,MBA,05:14,05:34
Dep,KQ617,MBA,05:20,05:40,KQ600,MBA,06:50,07:10
Full,KQ617,MBA,21:30,21:57,KQ418,EBB,22:55,23:52
Arr,KQ619,MBA,22:40,22:40,KQ350,JUB,00:04,00:04
Park,KQ619,MBA,00:10,00:10,KQ350,JUB,06:14,06:21
Dep,KQ619,MBA,06:20,06:27,KQ350,JUB,07:50,07:57
Full,KQ625,MBA,06:15,06:10,KQ640,MYD,08:55,08:55
Full,KQ641,MYD,11:45,11:34,KQ606,MBA,12:55,13:25
Full,KQ651,KIS,09:10,08:57,KQ654,KIS,09:55,11:02
Full,KQ655,KIS,12:15,12:00,KQ656,KIS,13:05,13:05
Full,KQ657,KIS,15:25,15:17,KQ670,KIS,17:30,17:39
Arr,KQ671,KIS,19:50,19:08,KQ480,DAR,21:14,20:32
Park,KQ671,KIS,21:20,20:38,KQ480,DAR,06:09,07:09
Dep,KQ671,KIS,06:15,07:15,KQ480,DAR,07:45,08:45
Full,KQ671,KIS,19:50,19:07,,,23:59,23:59
Arr,KQ704,LUN,20:30,20:30,KQ250,SEZ,21:54,21:54
Park,KQ704,LUN,22:00,22:00,KQ250,SEZ,09:54,10:18
Dep,KQ704,LUN,10:00,10:24,KQ250,SEZ,11:30,11:54
Full,KQ704,LUN,20:30,21:14,KQ764,JNB,21:50,23:00
Full,KQ717,GBE,06:50,08:04,KQ730,LLW,08:15,08:55
Full,KQ720,HRE,06:50,07:14,KQ604,MBA,10:15,10:26
Full,KQ731,LLW,13:30,13:40,KQ484,DAR,15:55,16:55
Full,KQ749,APL,18:05,17:50,KQ436,JRO,19:20,20:05
Arr,KQ752,BLZ,19:45,19:45,KQ410,EBB,21:09,21:09
Park,KQ752,BLZ,21:15,21:15,KQ410,EBB,06:24,06:24
Dep,KQ752,BLZ,06:30,06:30,KQ410,EBB,08:00,08:00
Full,KQ761,JNB,17:40,17:55,KQ204,BOM,21:25,22:22
Full,KQ763,JNB,21:25,21:40,KQ304,DXB,22:30,22:56
Full,KQ765,JNB,06:55,07:17,KQ602,MBA,08:30,08:42
Full,KQ8603,MBA,12:25,12:35,KQ8606,MBA,14:00,14:00
Full,KQ8607,MBA,16:45,16:27,KQ8608,MBA,19:30,20:09
Arr,KQ8609,MBA,22:15,22:15,KQ8602,MBA,23:39,23:39
Park,KQ8609,MBA,23:45,23:45,KQ8602,MBA,08:04,08:23
Dep,KQ8609,MBA,08:10,08:29,KQ8602,MBA,09:40,09:59
Full,KQ8609,MBA,22:15,22:25,,,23:59,23:59
Full,KQ8651,KIS,08:30,08:45,KQ8690,UKU,09:10,09:34
Arr,KQ8655,KIS,20:00,20:00,KQ8650,KIS,21:24,21:24
Park,KQ8655,KIS,21:30,21:30,KQ8650,KIS,04:54,04:54
Dep,KQ8655,KIS,05:00,05:00,KQ8650,KIS,06:30,06:30
Full,KQ8655,KIS,20:00,20:56,,,23:59,23:59
Full,KQ8661,EDL,09:00,08:50,KQ8680,LAU,09:40,09:52
Arr,KQ8665,EDL,19:10,19:00,KQ8660,EDL,20:34,20:24
Park,KQ8665,EDL,20:40,20:30,KQ8660,EDL,05:24,05:30
Dep,KQ8665,EDL,05:30,05:36,KQ8660,EDL,07:00,07:06
Full,KQ8665,EDL,19:10,19:30,,,23:59,23:59
Full,KQ8681,MYD,13:30,13:42,KQ8654,KIS,18:00,18:00
Full,KQ8691,UKU,11:30,12:24,KQ8692,UKU,14:10,14:10
Full,KQ8693,UKU,16:30,15:48,KQ8664,EDL,17:10,17:40
Arr,KQ887,BKK,06:45,06:40,KQ886,BKK,08:09,08:04
Park,KQ887,BKK,08:15,08:10,KQ886,BKK,21:34,22:08
Dep,KQ887,BKK,21:40,22:14,KQ886,BKK,23:10,23:44
Full,LX294,ZRH,18:40,18:55,LX295,DAR,19:35,19:50
Full,MK534,MRU,11:50,12:04,MK535,MRU,13:05,13:21
Full,MS849,CAI,07:10,07:25,MS850,CAI,08:10,08:20
Full,PW715,ZNZ,21:15,20:55,,,23:59,23:59
Full,PW723,JRO,07:00,07:00,PW722,JRO,08:30,08:30
Arr,PW725,JRO,19:20,18:10,PW710,ZNZ,20:44,19:34
Park,PW725,JRO,20:50,19:40,PW710,ZNZ,06:34,06:34
Dep,PW725,JRO,06:40,06:40,PW710,ZNZ,08:10,08:10
Full,PW725,JRO,19:20,18:15,,,23:59,23:59
Full,PW727,JRO,16:00,14:59,PW726,JRO,16:50,17:00
Full,QR1337,DOH,09:30,09:45,QR1338,DOH,12:35,12:45
Full,QR1339,DOH,13:10,13:20,QR1340,DOH,17:35,17:45
Full,SA184,JNB,15:15,15:25,SA185,JNB,16:05,16:15
Full,SN463,BRU,21:45,21:55,SN463,BRU,22:45,22:55
Full,SV431,JED,11:32,11:42,SV430,JED,13:10,13:20
Full,TK6510,FIH,18:30,18:27,TK6492,IST,21:00,21:05
Full,TM4462,MPM,14:25,14:33,TM4463,MPM,15:45,15:57
Full,WB402,KGL,15:40,16:52,WB403,KGL,16:30,17:44
Full,WB450,EBB,10:40,10:40,WB450,KGL,11:25,11:30
Full,WB460,KGL,20:15,20:25,WB460,EBB,21:35,22:05
Full,,,06:50,06:50,KQ210,BOM,07:50,08:50
Full,,,22:25,22:25,KQ102,LHR,23:25,23:47
Arr,CZ633,CAN,07:00,07:00,CZ634,CAN,08:24,08:24
Park,CZ633,CAN,08:30,08:30,CZ634,CAN,11:59,12:09
Dep,CZ633,CAN,12:05,12:15,CZ634,CAN,13:35,13:45
Full,EK721,DXB,19:00,19:10,EK722,DUB,22:50,23:00
Arr,SA180,JNB,22:40,22:40,SA181,JNB,00:04,00:04
Park,SA180,JNB,00:10,00:10,SA181,JNB,06:54,07:24
Dep,SA180,JNB,07:00,07:30,SA181,JNB,08:30,09:00
Full,TK607,IST,07:25,07:14,TK608,IST,10:35,10:51
